Date,Price,PE,PB,ROE,ROA
11/28/2014,17.04,11.4377,0.761,6.6842,0.7585
12/5/2014,17.68,11.9063,0.7891,6.7691,0.7683
12/12/2014,17.13,11.4801,0.7638,6.8526,0.7818
12/19/2014,17.62,11.8182,0.7849,6.9462,0.7858
12/26/2014,17.98,12.0876,0.8002,7.0205,0.7959
1/2/2015,17.9,12.0457,0.7958,7.0526,0.7993
1/9/2015,16.98,11.4806,0.7542,7.0499,0.7929
1/16/2015,15.38,10.7356,0.682,6.836,0.7808
1/23/2015,15.73,10.965,0.6973,6.7933,0.7807
1/30/2015,15.15,10.577,0.6709,6.7615,0.7804
2/6/2015,16.49,11.4737,0.7293,6.765,0.7822
2/13/2015,16.61,11.464,0.7335,6.7787,0.787
2/20/2015,16.38,11.2732,0.7228,6.7923,0.7887
2/27/2015,15.81,10.8284,0.6967,6.806,0.7905
3/6/2015,16.22,11.1159,0.713,6.8193,0.7908
3/13/2015,16.09,11.0034,0.7064,6.7898,0.792
3/20/2015,15.84,10.8161,0.6943,6.8022,0.795
3/27/2015,15.31,10.4517,0.6701,6.7824,0.7908
4/3/2015,15.54,10.6115,0.6791,6.7831,0.7909
4/10/2015,15.72,10.7218,0.6854,6.787,0.792
4/17/2015,15.56,10.7598,0.6749,6.6148,0.7679
4/24/2015,15.64,10.8771,0.6774,6.6255,0.769
5/1/2015,16.11,11.2158,0.6966,6.6144,0.7694
5/8/2015,16.45,11.4189,0.7103,6.6287,0.7721
5/15/2015,16.35,11.3174,0.7063,6.6319,0.7741
5/22/2015,16.75,11.573,0.7223,6.6399,0.776
5/29/2015,16.5,11.3628,0.711,6.6541,0.778
6/5/2015,17.19,11.805,0.7399,6.6678,0.7777
6/12/2015,17.49,11.9769,0.752,6.6861,0.7804
6/19/2015,17.17,11.7163,0.7383,6.701,0.7785
6/26/2015,17.41,11.8582,0.7474,6.6948,0.7784
7/3/2015,17.03,11.5656,0.7303,6.684,0.7754
7/10/2015,16.7,11.2753,0.7144,6.6994,0.7774
7/17/2015,18.1,11.8889,0.7756,6.8509,0.8044
7/24/2015,17.9,11.6674,0.7658,6.8753,0.8114
7/31/2015,17.88,11.6209,0.764,6.8766,0.8117
8/7/2015,17.75,11.4842,0.7575,6.884,0.813
8/14/2015,17.7,11.4254,0.7555,6.8914,0.8142
8/21/2015,16.1,10.3687,0.6865,6.8988,0.8155
8/28/2015,16.36,10.5005,0.6969,6.9203,0.8164
9/4/2015,15.65,10.0264,0.6657,6.9255,0.8177
9/11/2015,16.04,10.2304,0.6817,6.9375,0.8189
9/18/2015,15.56,9.915,0.6606,6.945,0.8202
9/25/2015,15.89,10.1285,0.6736,6.9471,0.8215
10/2/2015,15.38,9.875,0.652,6.9238,0.8225
10/9/2015,15.58,10.0775,0.6597,6.8712,0.8132
10/16/2015,16.12,10.424,0.678,6.8236,0.8145
10/23/2015,16.52,10.6728,0.6943,6.8225,0.8158
10/30/2015,16.78,10.8284,0.7043,6.811,0.8147
11/6/2015,17.95,11.5691,0.7526,6.807,0.8156
11/13/2015,17.2,11.0704,0.7203,6.8108,0.8166
11/20/2015,17.65,11.3396,0.7384,6.8147,0.8175
11/27/2015,17.48,11.2242,0.7305,6.8185,0.8185
12/4/2015,17.8,11.4109,0.743,6.8279,0.8194
12/11/2015,16.73,10.6941,0.698,6.8319,0.8233
12/18/2015,16.76,10.6964,0.6987,6.8025,0.8194
12/25/2015,17.27,11.0416,0.7193,6.807,0.8203
1/1/2016,16.83,10.7403,0.7004,6.811,0.821
1/8/2016,15.2,9.7409,0.6332,6.8057,0.814
1/15/2016,14.46,9.3119,0.602,6.8065,0.8131
1/22/2016,13.56,8.8886,0.5661,6.6674,0.7961
1/29/2016,14.14,9.2521,0.5899,6.6703,0.7971
2/5/2016,12.95,8.4991,0.5399,6.6531,0.7961
2/12/2016,11.95,7.8527,0.4975,6.6607,0.7971
2/19/2016,12.13,7.9724,0.5048,6.6683,0.7981
2/26/2016,12.7,8.4515,0.5279,6.6529,0.7962
3/4/2016,13.54,9.1236,0.5631,6.5019,0.7803
3/11/2016,13.79,9.3526,0.5731,6.5137,0.7784
3/18/2016,13.79,9.3649,0.5725,6.4959,0.7761
3/25/2016,13.68,9.3815,0.5677,6.425,0.7744
4/1/2016,13.56,9.3164,0.5624,6.4095,0.772
4/8/2016,12.88,9.0303,0.534,6.3123,0.7542
4/15/2016,14,9.889,0.5739,6.0912,0.7373
4/22/2016,15.11,10.6686,0.6184,6.0758,0.7365
4/29/2016,14.56,10.2439,0.5952,6.0915,0.7384
5/6/2016,14.11,9.9267,0.5762,6.1054,0.7406
5/13/2016,13.88,9.7297,0.5662,6.1211,0.7365
5/20/2016,14.52,10.1719,0.5914,6.1361,0.7275
5/27/2016,14.88,10.3937,0.6052,6.1652,0.7296
6/3/2016,14.42,10.0402,0.5862,6.1802,0.7315
6/10/2016,13.83,9.5947,0.5616,6.1927,0.7338
6/17/2016,13.4,9.2655,0.5436,6.2076,0.7357
6/24/2016,13,8.9789,0.5267,6.1957,0.7351
7/1/2016,13.1,9.0532,0.5299,6.1695,0.7325
7/8/2016,13.17,9.2604,0.5324,6.0696,0.7245
7/15/2016,13.66,9.6795,0.5341,6.0659,0.7235
7/22/2016,14.38,10.0637,0.5736,5.9898,0.7192
7/29/2016,14.49,10.0792,0.5773,6.0362,0.7241
8/5/2016,15.05,10.4356,0.5986,6.064,0.7272
8/12/2016,14.91,10.3178,0.5919,6.081,0.7292
8/19/2016,15.22,10.4828,0.6035,6.0904,0.7292
8/26/2016,15.79,10.8182,0.6254,6.1267,0.737
9/2/2016,16,10.9237,0.6329,6.1442,0.739
9/9/2016,15.74,10.7064,0.6221,6.1617,0.7411
9/16/2016,15.49,10.5334,0.6115,6.1217,0.7431
9/23/2016,15.52,10.5212,0.612,6.139,0.7452
9/30/2016,15.65,10.5547,0.6165,6.1603,0.7473
10/7/2016,16.13,10.7286,0.6348,6.2178,0.7558
10/14/2016,16,10.5852,0.6288,6.261,0.7552
10/21/2016,16.67,10.7564,0.651,6.468,0.7768
10/28/2016,16.68,10.7186,0.6501,6.5109,0.7745
11/4/2016,16.55,10.6399,0.6445,6.4753,0.7805
11/11/2016,19.02,12.1265,0.7399,6.4689,0.7881
11/18/2016,20,12.6656,0.7784,6.6078,0.796
11/25/2016,20.86,13.1173,0.8116,6.6349,0.8032
12/2/2016,21.23,13.2306,0.8251,6.581,0.8051
12/9/2016,23.09,14.2294,0.8977,6.5906,0.8139
12/16/2016,22.66,13.7857,0.8801,6.681,0.8265
12/23/2016,22.6,13.6989,0.8763,6.7002,0.8238
12/30/2016,22.1,13.3858,0.8559,6.705,0.825
1/6/2017,22.68,13.6521,0.8787,6.835,0.8298
1/13/2017,23.01,13.3243,0.899,7.2138,0.8656
1/20/2017,22.64,12.8391,0.8871,7.3922,0.8839
1/27/2017,23.36,13.2861,0.9142,7.6198,0.8855
2/3/2017,23.29,13.1575,0.9123,7.6831,0.896
2/10/2017,23.08,12.9531,0.9037,7.7265,0.8993
2/17/2017,24.52,13.711,0.9587,7.744,0.9012
2/24/2017,24.23,13.5021,0.9467,7.7597,0.9028
3/3/2017,25.44,14.1324,0.9934,7.8187,0.9014
3/10/2017,25.31,14.0153,0.9871,7.8942,0.9068
3/17/2017,24.86,13.6897,0.9681,7.9292,0.908
3/24/2017,23.12,12.6541,0.8993,7.9785,0.9112
3/31/2017,23.59,12.9651,0.9172,7.9033,0.899
4/7/2017,23.16,12.514,0.8988,7.9535,0.9084
4/14/2017,22.34,12.0275,0.866,7.993,0.9059
4/21/2017,22.71,11.915,0.8773,8.2152,0.9426
4/28/2017,23.34,12.1521,0.9004,8.2318,0.9444
5/5/2017,23.74,12.2897,0.9148,8.2547,0.9412
5/12/2017,24,12.4137,0.9239,8.253,0.943
5/19/2017,23.05,11.8805,0.8864,8.3293,0.9494
5/26/2017,23.24,11.9402,0.8925,8.3472,0.9514
6/2/2017,22.45,11.5673,0.8619,8.3359,0.952
6/9/2017,23.67,12.2033,0.9057,8.3454,0.9503
6/16/2017,23.43,12.0773,0.8959,8.353,0.9503
6/23/2017,22.82,11.7299,0.8716,8.3717,0.9524
6/30/2017,24.26,12.3965,0.925,8.3955,0.9505
7/7/2017,24.83,12.6313,0.9621,8.4184,0.9512
7/14/2017,24.21,12.2874,0.9417,8.4359,0.9515
7/21/2017,23.8,11.8856,0.9247,8.4774,0.9623
7/28/2017,24.03,11.9463,0.9326,8.5003,0.9622
8/4/2017,24.97,12.3696,0.9679,8.5181,0.9636
8/11/2017,23.86,11.7769,0.9216,8.5548,0.9676
8/18/2017,23.62,11.614,0.9108,8.5723,0.9696
8/25/2017,23.77,11.6583,0.9156,8.5925,0.9717
9/1/2017,24.09,11.7729,0.9303,8.6128,0.9737
9/8/2017,22.89,11.152,0.8833,8.6307,0.9757
9/15/2017,24.38,11.8134,0.9395,8.592,0.9704
9/22/2017,25.02,12.0802,0.9632,8.6085,0.9716
9/29/2017,25.34,12.2179,0.9743,8.608,0.9725
10/6/2017,26.21,12.6168,1.0131,8.6302,0.9749
10/13/2017,25.83,12.3968,0.9968,8.6757,0.9807
10/20/2017,27.17,12.9616,1.067,8.6846,0.9838
10/27/2017,27.8,13.2421,1.0888,8.6694,0.9867
11/3/2017,27.82,13.1795,1.0883,8.6922,0.9852
11/10/2017,26.51,12.5356,1.036,8.7106,0.9871
11/17/2017,26.62,12.566,1.0392,8.7206,0.9928
11/24/2017,26.59,12.5128,1.0369,8.5788,0.9947
12/1/2017,28.1,13.1825,1.0955,8.5908,0.9947
12/8/2017,29.05,13.5332,1.1335,8.6062,0.9945
12/15/2017,29.04,13.5021,1.1351,8.6417,0.9972
12/22/2017,29.88,13.3354,1.1671,8.7526,1.0169
12/29/2017,29.52,13.1258,1.1519,8.772,1.019
1/5/2018,30.33,12.5143,1.1924,9.0875,1.0611
1/12/2018,31.19,12.7109,1.2256,9.4841,1.1025
1/19/2018,31.72,12.7061,1.2543,9.9858,1.1358
1/26/2018,32.2,12.8275,1.2703,10.0246,1.1377
2/2/2018,31.95,12.6314,1.259,10.0884,1.1438
2/9/2018,30.33,11.958,1.1938,10.1058,1.1448
2/16/2018,31.97,12.5936,1.256,10.2148,1.1458
2/23/2018,32.03,12.5468,1.2575,10.2329,1.1468
3/2/2018,31.63,12.3416,1.2402,10.2581,1.1488
3/9/2018,32.72,12.7283,1.2815,10.2762,1.1492
3/16/2018,32.17,12.5413,1.2583,10.2967,1.1596
3/23/2018,29.17,11.3687,1.1396,10.3133,1.1616
3/30/2018,29.99,11.6494,1.1744,10.3458,1.1593
4/6/2018,29.63,11.425,1.1604,10.4877,1.1658
4/13/2018,29.8,11.4697,1.166,10.5175,1.1659
4/20/2018,30.26,11.3635,1.1972,10.6514,1.1781
4/27/2018,30.15,11.2005,1.1941,10.7049,1.1912
5/4/2018,29.3,10.8915,1.1588,10.7542,1.194
5/11/2018,30.92,11.5467,1.2216,10.7613,1.1915
5/18/2018,30.26,11.2801,1.1947,10.7772,1.1928
5/25/2018,30.16,11.2286,1.189,10.7938,1.1936
6/1/2018,29.4,10.8566,1.1583,10.8092,1.1939
6/8/2018,30.01,11.065,1.1806,10.8114,1.1896
6/15/2018,29.28,10.7821,1.1493,10.8301,1.1906
6/22/2018,28.99,10.6643,1.1367,10.8323,1.1917
6/29/2018,28.19,10.3542,1.1036,10.8483,1.1938
7/6/2018,28.03,10.3182,1.099,10.8311,1.1876
7/13/2018,28.55,10.5153,1.1169,10.7775,1.1776
7/20/2018,30.13,11.002,1.1732,10.8574,1.1921
7/27/2018,31.06,11.3003,1.2072,10.8828,1.1932
8/3/2018,31.51,11.4281,1.2235,10.907,1.1958
8/10/2018,31.19,11.2953,1.2096,10.9225,1.1969
8/17/2018,30.74,11.0988,1.1907,10.9379,1.1976
