Date,Price,PE,PB,ROA,ROE
11/28/2014,2631.25,10.9518,2.1177,2.6246,20.5536
12/5/2014,2662.5,11.0549,2.1372,2.6251,20.5515
12/12/2014,2687.5,11.1206,2.1516,2.6402,20.5623
12/19/2014,2662.5,10.9938,2.126,2.6393,20.5672
12/26/2014,2675,11.0287,2.1304,2.6404,20.5671
1/2/2015,2706.25,11.1237,2.1506,2.6412,20.5661
1/9/2015,2781.25,11.4945,2.1903,2.6155,20.5234
1/16/2015,2675,11.0316,2.0964,2.611,20.425
1/23/2015,2843.75,11.6937,2.2275,2.63,20.455
1/30/2015,2750,11.2761,2.1481,2.6224,20.4346
2/6/2015,2837.5,11.6466,2.2103,2.5893,20.3337
2/13/2015,2975,12.2243,2.3191,2.591,20.316
2/20/2015,3018.75,12.3569,2.3358,2.5738,20.2988
2/27/2015,3000,12.2897,2.3111,2.5459,20.0902
3/6/2015,3025,12.3326,2.3201,2.5531,20.091
3/13/2015,2975,12.154,2.2717,2.5286,19.9868
3/20/2015,3050,12.3815,2.3161,2.5172,19.8952
3/27/2015,2987.5,12.1132,2.265,2.5127,19.8776
4/3/2015,3068.75,12.5038,2.3196,2.514,19.8762
4/10/2015,3000,12.1574,2.2577,2.5154,19.8804
4/17/2015,3000,12.0106,2.2482,2.5179,19.9017
4/24/2015,2975,11.9285,2.2246,2.5124,19.9051
5/1/2015,2687.5,10.8689,1.9986,2.4952,19.8396
5/8/2015,2793.75,11.2492,2.0693,2.4964,19.864
5/15/2015,2737.5,10.9942,2.0221,2.4976,19.8141
5/22/2015,2856.25,11.4485,2.0963,2.4989,19.8213
5/29/2015,2693.75,10.7209,1.973,2.4919,19.7589
6/5/2015,2668.75,10.6359,1.9508,2.487,19.6713
6/12/2015,2475,9.8391,1.804,2.4882,19.7012
6/19/2015,2500,9.9271,1.8177,2.4829,19.6941
6/26/2015,2525,10.0654,1.8332,2.4641,19.4871
7/3/2015,2543.75,10.1156,1.8416,2.4652,19.4816
7/10/2015,2500,9.9315,1.8058,2.4664,19.4746
7/17/2015,2500,9.9661,1.8003,2.4503,19.3624
7/24/2015,2500,9.9952,1.8022,2.4513,19.3425
7/31/2015,2381.25,9.6221,1.7247,2.393,19.0632
8/7/2015,2412.5,9.8198,1.744,2.3664,18.8938
8/14/2015,2250,9.169,1.6222,2.3677,18.8423
8/21/2015,2125,8.8361,1.5381,2.2967,18.4022
8/28/2015,2268.75,9.5464,1.6385,2.288,18.3396
9/4/2015,2206.25,9.3112,1.5923,2.2817,18.2764
9/11/2015,2162.5,9.1647,1.5567,2.2825,18.3242
9/18/2015,2162.5,9.1444,1.5526,2.2832,18.3242
