Date,Price,PE,PB,ROE,ROA
11/28/2014,18.0273,11.4179,1.243,11.3525,0.9867
12/5/2014,17.8909,11.3071,1.2319,11.3519,0.9872
12/12/2014,18.2727,11.5307,1.2565,11.3517,0.9877
12/19/2014,18.1182,11.4012,1.2442,11.3523,0.9853
12/26/2014,18.5,11.6094,1.2687,11.3521,0.9857
1/2/2015,18.6364,11.6924,1.2766,11.339,0.9862
1/9/2015,18.3,11.4975,1.2522,11.329,0.9902
1/16/2015,18.0091,11.3171,1.2308,11.3308,0.9902
1/23/2015,18.3273,11.5232,1.2506,11.3267,0.9904
1/30/2015,17.9909,11.2786,1.2243,11.3385,0.9915
2/6/2015,17.6182,10.999,1.1972,11.3369,0.9844
2/13/2015,17.5273,10.9786,1.185,11.1172,0.961
2/20/2015,17.6818,11.0731,1.1933,11.1242,0.9623
2/27/2015,17.7909,11.1236,1.1985,11.1062,0.9623
3/6/2015,17.8818,11.1546,1.2024,11.1097,0.9623
3/13/2015,17.7818,11.0858,1.1992,11.1166,0.9582
3/20/2015,18.2364,11.3759,1.2289,11.1011,0.9555
3/27/2015,18.4727,11.4848,1.2429,11.1138,0.9566
4/3/2015,18.6091,11.5436,1.2503,11.1334,0.9577
4/10/2015,18.6364,11.5319,1.2503,11.1415,0.9588
4/17/2015,19.2636,11.8976,1.2907,11.1619,0.9579
4/24/2015,19.1636,11.8217,1.2825,11.129,0.9587
5/1/2015,19.1727,11.679,1.2765,11.225,0.9612
5/8/2015,19.1364,11.6476,1.2721,11.2118,0.9701
5/15/2015,19.0818,11.5948,1.2665,11.2221,0.9725
5/22/2015,18.9364,11.4798,1.255,11.2168,0.9734
5/29/2015,18.4545,11.1644,1.2205,11.2218,0.9744
6/5/2015,18.3727,11.0775,1.2141,11.2269,0.9753
6/12/2015,19.0727,11.4522,1.2582,11.2685,0.9786
6/19/2015,18.8,11.2951,1.239,11.25,0.9767
6/26/2015,18.6545,11.1851,1.2276,11.2573,0.9777
7/3/2015,19.0091,11.3747,1.2491,11.2619,0.9787
7/10/2015,18.7636,11.2056,1.2312,11.2665,0.9797
7/17/2015,19.4364,11.5592,1.273,11.2846,0.9803
7/24/2015,19.4545,11.5417,1.2723,11.2705,0.9803
7/31/2015,18.3455,10.8972,1.2003,11.27,0.988
