Date,Price,PE,PB,ROE,ROA
11/28/2014,129.2,13.4114,2.0435,15.7764,1.512
12/5/2014,128.1,13.2761,2.0235,15.7887,1.5131
12/12/2014,127.2,13.162,2.0067,15.7961,1.5142
12/19/2014,127.7,13.1928,2.012,15.8083,1.5153
12/26/2014,129,13.3144,2.0299,15.8206,1.5164
1/2/2015,129.5,13.3429,2.0276,15.7722,1.517
1/9/2015,127,13.0501,1.9894,15.8188,1.5271
1/16/2015,130.6,13.3951,2.0426,15.6695,1.5272
1/23/2015,132.9,13.6089,2.0567,15.6697,1.5273
1/30/2015,135.8,13.8823,2.096,15.6484,1.527
2/6/2015,143.7,14.6426,2.2141,15.6659,1.527
2/13/2015,142,14.2087,2.1816,16.0337,1.5561
2/20/2015,144.7,14.5449,2.1835,15.898,1.5665
2/27/2015,141.4,14.2811,1.984,14.2622,1.4674
3/6/2015,141.1,14.0808,1.9773,14.3527,1.4658
3/13/2015,135.5,13.5261,1.8816,14.175,1.4643
3/20/2015,139,13.8691,1.9279,14.1665,1.4628
3/27/2015,140.6,14.0224,1.9477,14.1544,1.4612
4/3/2015,140.6,14.0007,1.9437,14.4158,1.4572
4/10/2015,143.3,14.2627,1.9803,14.1455,1.4554
4/17/2015,145,14.4257,2.0014,14.046,1.4537
4/24/2015,151,14.9883,2.0585,13.8723,1.452
5/1/2015,151.3,15.0811,2.0388,13.9073,1.4502
5/8/2015,153.4,15.283,2.0647,13.8976,1.4485
5/15/2015,158,15.8081,2.1199,13.974,1.4386
5/22/2015,158.9,15.9269,2.0865,13.8871,1.4622
5/29/2015,155.6,15.5858,2.0423,13.8676,1.4592
6/5/2015,153.8,15.3954,2.0172,14.0262,1.4561
6/12/2015,154,15.4053,2.0183,14,1.4531
6/19/2015,153.3,15.3252,2.0076,13.9712,1.45
6/26/2015,152.3,15.2152,1.993,13.9524,1.4469
7/3/2015,151.8,15.1553,1.985,13.9281,1.4439
7/10/2015,149.7,14.9346,1.9576,14.0755,1.4647
7/17/2015,154.4,15.3936,2.0107,14.1301,1.4792
7/24/2015,156.2,15.5636,2.039,13.9091,1.4786
7/31/2015,158.9,15.8232,2.0593,13.7827,1.4712
8/7/2015,160.5,15.3117,2.1149,14.4662,1.507
8/14/2015,153.8,14.5054,2.0356,14.5534,1.5171
8/21/2015,138.8,13.1214,1.8355,14.7043,1.516
8/28/2015,138.1,13.1024,1.8255,14.6093,1.5087
9/4/2015,137.5,13.0044,1.8109,14.483,1.4913
9/11/2015,145.5,13.8061,1.9149,14.4025,1.483
9/18/2015,145,13.8013,1.9068,14.3268,1.4754
9/25/2015,141.9,13.5481,1.8641,14.3153,1.4678
10/2/2015,141.5,13.5906,1.8606,14.281,1.4602
10/9/2015,142.3,13.7112,1.8697,14.2022,1.4526
10/16/2015,142.6,13.7843,1.8722,14.1235,1.445
10/23/2015,144.7,14.0324,1.8983,14.0448,1.4374
10/30/2015,142.6,13.8572,1.8694,13.966,1.4298
11/6/2015,142,13.9259,1.85,13.8063,1.4153
11/13/2015,141.6,13.994,1.8457,13.6556,1.3959
11/20/2015,144.2,14.3405,1.8782,13.5728,1.3875
11/27/2015,140.8,14.05,1.8325,13.4901,1.3792
12/4/2015,143,14.3221,1.8598,13.4074,1.3708
12/11/2015,143.8,14.4553,1.8681,13.3099,1.3695
12/18/2015,144.6,14.6763,1.9066,13.2988,1.3452
12/25/2015,146.8,14.9386,1.9343,13.208,1.3373
1/1/2016,147.5,15.0587,1.9424,13.143,1.331
1/8/2016,138,14.1115,1.8161,13.1233,1.331
1/15/2016,132.3,13.5034,1.7392,13.1317,1.331
1/22/2016,122.9,12.8308,1.5914,13.0499,1.3309
1/29/2016,128.5,13.39,1.6621,13.0555,1.3309
2/5/2016,129,13.4618,1.6644,12.9939,1.3252
2/12/2016,124.1,12.9268,1.6011,12.9985,1.3251
2/19/2016,126.3,13.1319,1.6278,13.003,1.3249
2/26/2016,132.1,14.0449,1.7049,12.6262,1.3251
3/4/2016,137.9,14.7504,1.788,12.6149,1.3236
3/11/2016,131.4,14.0308,1.7022,12.6364,1.324
3/18/2016,135.1,14.4009,1.7485,12.6439,1.3244
3/25/2016,132.8,14.1325,1.7166,12.6263,1.3248
4/1/2016,135.7,14.4151,1.7525,12.6345,1.3253
4/8/2016,133.9,14.1994,1.7282,12.6427,1.3257
4/15/2016,139.2,14.7361,1.795,12.6509,1.3261
4/22/2016,140.7,14.9757,1.8158,12.5695,1.3265
4/29/2016,141,15.0826,1.8209,12.5776,1.3269
5/6/2016,137.1,14.6413,1.7696,12.5858,1.3273
5/13/2016,132.6,14.477,1.7305,12.3656,1.2932
5/20/2016,134.7,14.6829,1.7565,12.3734,1.2955
