Date,Price,PE,PB,ROE,ROA
11/28/2014,637,10.6767,0.979,9.2204,0.6363
12/5/2014,643.1,10.8103,0.9851,9.2742,0.6364
12/12/2014,603.4,10.2496,0.9332,9.2817,0.6448
12/19/2014,607.5,10.1336,0.9333,9.2712,0.6368
12/26/2014,614.2,10.1925,0.9387,9.2753,0.6369
1/2/2015,612,10.0171,0.9236,9.2814,0.6371
1/9/2015,602,9.7829,0.8974,9.3163,0.6396
1/16/2015,594,9.6427,0.884,9.2711,0.6401
1/23/2015,624.8,10.0632,0.9231,9.1809,0.6407
1/30/2015,609.6,9.9095,0.9008,9.1894,0.6396
2/6/2015,620.8,10.1768,0.9294,9.1702,0.6404
2/13/2015,598.2,9.9814,0.9056,8.9997,0.6331
2/20/2015,605.2,10.1068,0.917,8.9997,0.6358
2/27/2015,577.3,10.3413,0.9105,8.3682,0.5751
3/6/2015,568,9.9368,0.8657,8.3735,0.5756
3/13/2015,561.3,9.6323,0.8407,8.3746,0.5773
3/20/2015,584.7,10.2406,0.8898,8.3797,0.5778
3/27/2015,578.5,10.0566,0.8746,8.3779,0.5783
4/3/2015,582.3,10.1646,0.8777,8.3685,0.5789
4/10/2015,612.1,10.5344,0.9105,8.3612,0.5794
4/17/2015,600,10.5609,0.9091,8.3251,0.5799
4/24/2015,629.7,11.1272,0.9733,8.3066,0.577
5/1/2015,646.3,11.3258,0.9948,8.3503,0.5776
5/8/2015,641.1,11.2787,1.0081,8.4357,0.5935
5/15/2015,616.9,11.0941,0.9884,8.3774,0.5937
5/22/2015,620.6,11.0089,0.9807,8.5008,0.5938
5/29/2015,622.7,10.8832,0.9702,8.5038,0.5938
6/5/2015,618.9,10.8646,0.9655,8.6706,0.5771
6/12/2015,607.7,10.8589,0.9648,8.4209,0.5911
6/19/2015,590.8,10.8856,0.9613,8.4096,0.5997
6/26/2015,589.9,10.5844,0.9479,8.3496,0.6003
7/3/2015,572.9,10.0735,0.911,8.3413,0.6005
7/10/2015,565.7,9.8875,0.8947,8.3338,0.6013
7/17/2015,580.2,10.3088,0.9305,8.3808,0.6004
7/24/2015,569.4,9.9039,0.9023,8.3661,0.6006
7/31/2015,579.7,10.1659,0.925,8.3874,0.6008
8/7/2015,587.7,10.6791,0.9305,8.4716,0.62
8/14/2015,558,10.3989,0.9021,8.4882,0.6185
8/21/2015,521.2,9.7455,0.8455,8.4854,0.6189
8/28/2015,518.7,9.6432,0.8241,8.4826,0.6192
9/4/2015,493.5,9.1524,0.7745,8.376,0.6141
9/11/2015,504.3,9.54,0.8037,8.2662,0.6122
9/18/2015,490.65,9.2567,0.7965,8.2187,0.6049
9/25/2015,503.6,9.2718,0.7959,8.2151,0.6049
10/2/2015,507.7,9.4989,0.8034,8.1447,0.596
10/9/2015,532.2,10.0384,0.8487,8.0513,0.5881
10/16/2015,521,9.7843,0.8393,8.0413,0.588
10/23/2015,518,9.6636,0.8282,8.0385,0.5881
10/30/2015,507.6,9.5518,0.8167,8.0263,0.5867
11/6/2015,527.8,9.8292,0.8359,7.997,0.5978
11/13/2015,513.2,9.8552,0.8207,7.9032,0.5989
11/20/2015,531.1,10.2044,0.849,7.8794,0.5985
11/27/2015,534.9,10.1969,0.8471,7.9821,0.5978
12/4/2015,523.3,9.8207,0.8357,7.9407,0.618
12/11/2015,498,9.4462,0.8044,7.8916,0.6137
12/18/2015,529.2,9.8812,0.8382,7.8355,0.6053
12/25/2015,541.3,10.1195,0.8604,7.8372,0.6115
1/1/2016,536.2,9.9002,0.8411,7.829,0.611
1/8/2016,499.1,9.2298,0.7752,7.8865,0.6129
1/15/2016,485.7,8.8661,0.7424,7.4752,0.6079
1/22/2016,479.55,8.7498,0.7336,7.4903,0.6098
1/29/2016,492.3,9.0312,0.7508,7.4816,0.6118
2/5/2016,457.85,8.5795,0.7159,7.4872,0.6066
2/12/2016,440.4,8.171,0.6895,7.4673,0.5953
2/19/2016,449.85,8.5552,0.6981,7.2582,0.5922
2/26/2016,467.35,9.302,0.7233,7.0798,0.5841
3/4/2016,453.55,9.5217,0.7209,6.9351,0.5855
3/11/2016,451.35,9.8108,0.7266,6.8587,0.5616
3/18/2016,448.8,9.9197,0.7274,6.8028,0.5557
3/25/2016,438.3,9.5664,0.6951,6.5611,0.5573
