Date,PE,PB,ROE,ROA,Price
11/28/2014,5.0314,0.8964,18.9969,1.346,5.26
12/5/2014,5.2524,0.9331,18.9621,1.345,5.48
12/12/2014,5.0753,0.9039,18.9611,1.3486,5.29
12/19/2014,5.1851,0.9202,18.8712,1.3487,5.37
12/26/2014,5.2601,0.9321,18.8409,1.3476,5.46
1/2/2015,5.5342,0.9816,18.9007,1.356,5.77
1/9/2015,5.5055,0.9648,18.6284,1.359,5.73
1/16/2015,5.4622,0.9557,18.6082,1.358,5.68
1/23/2015,5.6236,0.983,18.591,1.358,5.84
1/30/2015,5.3778,0.9379,18.5628,1.358,5.58
2/6/2015,5.392,0.9394,18.5451,1.358,5.61
2/13/2015,5.4243,0.9428,18.5225,1.358,5.65
2/20/2015,5.4631,0.947,18.4769,1.3571,5.68
2/27/2015,5.4518,0.9444,18.4607,1.3572,5.66
3/6/2015,5.2447,0.9052,18.4297,1.3506,5.44
3/13/2015,5.3473,0.9204,18.3769,1.3506,5.55
3/20/2015,5.4544,0.935,18.2585,1.3457,5.69
3/27/2015,5.4051,0.9003,17.6376,1.3162,5.5
4/3/2015,5.7288,0.9509,17.5409,1.3169,5.85
4/10/2015,6.1614,1.0177,17.4502,1.3217,6.27
4/17/2015,6.6536,1.094,17.3168,1.3117,6.79
4/24/2015,6.6433,1.0889,17.3108,1.3112,6.78
5/1/2015,6.6268,1.0784,17.2241,1.3027,6.74
5/8/2015,6.4486,1.0454,17.197,1.3022,6.54
5/15/2015,6.5165,1.0534,17.1365,1.3017,6.61
5/22/2015,6.7014,1.0791,17.1149,1.3011,6.8
5/29/2015,6.6377,1.0677,17.0928,1.3012,6.75
6/5/2015,6.5212,1.0463,17.0438,1.2983,6.62
6/12/2015,6.5939,1.0551,16.9818,1.295,6.68
6/19/2015,6.2544,0.9996,16.9587,1.2944,6.34
6/26/2015,6.5026,1.038,16.9355,1.2939,6.6
7/3/2015,6.1533,0.9738,16.7187,1.2889,6.21
7/10/2015,5.6139,0.8874,16.6949,1.2882,5.66
7/17/2015,5.6583,0.8885,16.5825,1.2829,5.69
7/24/2015,5.5347,0.8661,16.5211,1.279,5.56
7/31/2015,5.3105,0.83,16.4967,1.2782,5.34
8/7/2015,5.3575,0.8362,16.4722,1.2774,5.39
8/14/2015,5.3681,0.8367,16.4376,1.2752,5.25
8/21/2015,5.035,0.7838,16.5772,1.2745,4.93
8/28/2015,4.655,0.7187,16.217,1.2494,4.52
9/4/2015,4.537,0.6956,16.0871,1.2374,4.4
9/11/2015,4.8594,0.7427,16.032,1.2309,4.7
9/18/2015,4.9099,0.7482,15.9885,1.2275,4.75
9/25/2015,4.7041,0.7126,15.9412,1.2259,4.53
10/2/2015,4.7173,0.7133,15.8996,1.2218,4.55
10/9/2015,5.1465,0.7771,15.8714,1.2205,4.98
10/16/2015,5.2307,0.787,15.8431,1.2193,5.04
10/23/2015,5.3261,0.8002,15.8148,1.2181,5.14
10/30/2015,5.1034,0.7656,15.7822,1.213,4.95
11/6/2015,5.0901,0.7564,15.7441,1.2197,4.87
11/13/2015,4.9914,0.7388,15.6631,1.2182,4.75
11/20/2015,5.1346,0.7587,15.6337,1.2167,4.88
11/27/2015,4.9494,0.7295,15.6155,1.2124,4.69
12/4/2015,4.9179,0.7219,15.5362,1.2025,4.65
12/11/2015,4.8094,0.7073,15.517,1.2103,4.52
12/18/2015,5.0177,0.7341,15.4901,1.2069,4.68
12/25/2015,5.1431,0.7511,15.4601,1.2053,4.8
1/1/2016,5.0225,0.7325,15.436,1.204,4.68
1/8/2016,4.7617,0.69,15.2979,1.1886,4.35
1/15/2016,4.393,0.6361,15.2838,1.1882,4.05
1/22/2016,4.2716,0.6163,15.1818,1.1878,3.92
1/29/2016,4.386,0.6323,15.1677,1.1875,4.03
2/5/2016,4.3499,0.6245,15.1674,1.1809,3.99
2/12/2016,4.0801,0.5845,15.097,1.1693,3.73
2/19/2016,4.2619,0.6087,14.9907,1.1623,3.92
2/26/2016,4.2117,0.601,15.0304,1.162,3.87
3/4/2016,4.4434,0.6319,14.9615,1.1617,4.09
3/11/2016,4.5217,0.6383,14.8353,1.1492,4.15
3/18/2016,4.7416,0.6654,14.6647,1.1328,4.33
3/25/2016,4.6575,0.6525,14.6512,1.1325,4.23
4/1/2016,4.6325,0.6452,14.6185,1.14,4.22
4/8/2016,4.5029,0.6255,14.5766,1.1468,4.11
4/15/2016,4.7767,0.6624,14.5679,1.1489,4.35
4/22/2016,4.7318,0.6569,14.4332,1.1524,4.31
4/29/2016,4.6144,0.637,14.3864,1.145,4.21
5/6/2016,4.3757,0.6037,14.3952,1.1403,3.98
5/13/2016,4.2813,0.5883,14.3413,1.1392,3.87
5/20/2016,4.3049,0.5864,14.2015,1.1383,3.87
5/27/2016,4.5414,0.6193,14.1811,1.1369,4.08
6/3/2016,4.6542,0.6339,14.1608,1.1355,4.19
6/10/2016,4.6655,0.6346,14.1322,1.1382,4.19
6/17/2016,4.5954,0.6234,13.9505,1.1312,4.11
6/24/2016,4.855,0.6566,13.9224,1.1273,4.31
7/1/2016,4.8478,0.6547,13.905,1.126,4.29
7/8/2016,4.6978,0.6337,13.8839,1.1247,4.14
7/15/2016,4.9295,0.6645,13.8358,1.1177,4.34
7/22/2016,4.9738,0.6691,13.8145,1.1163,4.39
7/29/2016,4.9349,0.6636,13.8171,1.1149,4.39
8/5/2016,5.0351,0.6773,13.8218,1.1135,4.48
8/12/2016,5.3522,0.7193,13.8288,1.1147,4.79
8/19/2016,5.4959,0.7376,13.8075,1.1131,4.91
8/26/2016,5.5368,0.7436,13.7799,1.1114,4.94
9/2/2016,5.4985,0.7377,13.6986,1.102,4.9
9/9/2016,5.6871,0.7619,13.6743,1.1001,5.06
9/16/2016,5.3615,0.7195,13.7123,1.107,4.82
9/23/2016,5.4843,0.7258,13.6548,1.1015,4.88
9/30/2016,5.453,0.7196,13.628,1.0995,4.85
10/7/2016,5.6225,0.743,13.6832,1.1002,5
10/14/2016,5.3278,0.7034,13.6773,1.1013,4.72
10/21/2016,5.3396,0.7064,13.6688,1.1017,4.72
10/28/2016,5.2664,0.6954,13.6144,1.0996,4.63
11/4/2016,5.2638,0.6921,13.6249,1.1022,4.65
11/11/2016,5.2414,0.688,13.6003,1.1001,4.6
11/18/2016,5.1659,0.677,13.5757,1.0979,4.48
11/25/2016,5.404,0.7073,13.5511,1.0958,4.67
12/2/2016,5.4401,0.7137,13.6153,1.1121,4.75
12/9/2016,5.58,0.7309,13.5917,1.1103,4.85
12/16/2016,5.2971,0.6926,13.5682,1.1085,4.57
12/23/2016,5.1945,0.6773,13.4963,1.097,4.49
12/30/2016,5.3769,0.7,13.472,1.095,4.65
1/6/2017,5.434,0.7069,13.5414,1.1026,4.73
1/13/2017,5.4423,0.7069,13.5288,1.1022,4.77
1/20/2017,5.3642,0.6919,13.4965,1.0978,4.71
1/27/2017,5.4616,0.703,13.5019,1.0975,4.78
2/3/2017,5.3183,0.6845,13.4415,1.0973,4.7
2/10/2017,5.5344,0.7112,13.4282,1.0969,4.86
2/17/2017,5.7432,0.7373,13.4276,1.0966,5.06
2/24/2017,5.7977,0.7471,13.4275,1.0993,5.14
3/3/2017,5.5838,0.7189,13.4316,1.0993,4.93
3/10/2017,5.5545,0.7181,13.4205,1.0994,4.91
3/17/2017,5.8175,0.7525,13.4093,1.0994,5.16
3/24/2017,5.7832,0.7499,13.41,1.0995,5.16
3/31/2017,5.6496,0.7368,13.5382,1.1098,5.08
4/7/2017,5.5634,0.7313,13.6462,1.1148,5.01
4/14/2017,5.5656,0.7278,13.61,1.1137,5.02
4/21/2017,5.491,0.7195,13.682,1.1189,4.96
4/28/2017,5.6175,0.7348,13.6683,1.1185,5.08
5/5/2017,5.509,0.7155,13.6234,1.1127,4.96
5/12/2017,5.6471,0.7319,13.6339,1.1113,5.08
5/19/2017,5.6227,0.7272,13.5933,1.1093,5.07
5/26/2017,5.7358,0.7402,13.5963,1.1077,5.19
6/2/2017,5.9234,0.7635,13.5831,1.1048,5.4
6/9/2017,5.7021,0.734,13.5737,1.1044,5.22
6/16/2017,5.6695,0.7289,13.5577,1.1039,5.19
6/23/2017,5.6862,0.7315,13.5498,1.1025,5.2
6/30/2017,5.7122,0.7351,13.5115,1.0945,5.27
7/7/2017,5.3052,0.6819,13.4973,1.0914,4.88
7/14/2017,5.7015,0.7321,13.4932,1.0908,5.27
7/21/2017,5.7645,0.7413,13.4928,1.0917,5.36
7/28/2017,5.8287,0.7476,13.4325,1.0925,5.42
8/4/2017,6.0306,0.7736,13.4227,1.0907,5.63
8/11/2017,5.6257,0.721,13.4094,1.093,5.3
8/18/2017,5.8153,0.7445,13.4032,1.0929,5.48
8/25/2017,6.3003,0.8057,13.3923,1.0923,5.96
9/1/2017,5.9576,0.7711,13.6113,1.1186,5.8
9/8/2017,5.9023,0.765,13.5877,1.1183,5.82
9/15/2017,5.8385,0.7575,13.577,1.118,5.73
9/22/2017,5.9694,0.7761,13.6043,1.119,5.84
9/29/2017,5.9513,0.7749,13.5938,1.1187,5.8
10/6/2017,6.5491,0.8525,13.6368,1.1185,6.38
10/13/2017,6.4597,0.8403,13.627,1.1182,6.37
10/20/2017,6.43,0.8356,13.6093,1.1179,6.3
10/27/2017,6.5463,0.8501,13.5997,1.1176,6.39
11/3/2017,6.3438,0.8286,13.6844,1.1225,6.25
11/10/2017,6.3013,0.8226,13.6757,1.1223,6.2
11/17/2017,6.25,0.8154,13.667,1.1222,6.19
11/24/2017,6.2488,0.8152,13.6509,1.122,6.23
12/1/2017,6.0859,0.7935,13.6413,1.1218,6.08
12/8/2017,5.9432,0.7736,13.6059,1.1216,5.9
12/15/2017,6.1579,0.801,13.5963,1.1214,6.14
12/22/2017,6.2495,0.8125,13.5954,1.1232,6.28
12/29/2017,6.1998,0.8053,13.586,1.123,6.29
1/5/2018,6.4287,0.8361,13.5929,1.123,6.56
1/12/2018,6.4559,0.8401,13.62,1.1263,6.64
1/19/2018,6.7004,0.8997,13.5756,1.1249,7.19
1/26/2018,6.9618,0.9058,13.5906,1.1345,7.34
2/2/2018,6.9463,0.906,13.6445,1.1363,7.39
2/9/2018,6.1239,0.7989,13.6396,1.1363,6.53
2/16/2018,6.5645,0.8598,13.7259,1.1417,6.99
2/23/2018,6.5811,0.8623,13.7127,1.142,7.03
3/2/2018,6.2291,0.817,13.7324,1.1422,6.67
3/9/2018,6.388,0.8404,13.7478,1.1399,6.88
3/16/2018,6.4066,0.8427,13.7434,1.1401,6.92
3/23/2018,6.1262,0.8057,13.7027,1.1403,6.65
3/30/2018,6.1242,0.8184,13.9659,1.1494,6.73
4/6/2018,6.0362,0.8057,13.9558,1.1441,6.63
4/13/2018,6.1768,0.8233,13.9277,1.1457,6.82
4/20/2018,6.134,0.8174,13.9214,1.1463,6.77
4/27/2018,6.16,0.8225,13.9194,1.147,6.78
5/4/2018,6.1433,0.8158,13.8706,1.141,6.69
5/11/2018,6.2531,0.8313,13.8802,1.1404,6.85
5/18/2018,6.2002,0.824,13.8776,1.1411,6.75
5/25/2018,6.0562,0.8075,13.8792,1.1424,6.62
6/1/2018,5.9792,0.7971,13.8757,1.1431,6.51
6/8/2018,6.0258,0.8038,13.8718,1.1472,6.59
6/15/2018,5.7901,0.7717,13.87,1.1479,6.33
6/22/2018,5.5785,0.7448,13.8946,1.1487,6.03
6/29/2018,5.5173,0.7358,13.8779,1.1484,5.87
7/6/2018,5.2077,0.6942,13.8723,1.1495,5.53
7/13/2018,5.3512,0.7125,13.8702,1.1502,5.61
7/20/2018,5.3393,0.7097,13.8291,1.1472,5.56
7/27/2018,5.6124,0.7459,13.8268,1.1478,5.82
8/3/2018,5.5252,0.7341,13.8235,1.1484,5.71
8/10/2018,5.5942,0.7428,13.8117,1.1467,5.78
8/17/2018,5.4579,0.723,13.7644,1.1391,5.62
8/24/2018,5.5162,0.7301,13.7583,1.1409,5.73
8/31/2018,5.5593,0.7398,13.866,1.1521,5.78
9/7/2018,5.4209,0.7229,13.8726,1.1557,5.64
9/14/2018,5.3029,0.7045,13.8724,1.1564,5.49
9/21/2018,5.5637,0.7377,13.87,1.157,5.74
9/28/2018,5.5712,0.7333,13.7973,1.1454,5.72
10/5/2018,5.1865,0.6828,13.7945,1.1459,5.34
10/12/2018,5.1506,0.6779,13.7904,1.1464,5.27
10/19/2018,5.106,0.6718,13.784,1.1463,5.23
10/26/2018,5.1387,0.676,13.7811,1.1468,5.26
11/2/2018,5.4414,0.7108,13.6913,1.132,5.56
11/9/2018,5.2758,0.6875,13.6442,1.1188,5.34
11/16/2018,5.3436,0.6961,13.6349,1.1189,5.43
11/23/2018,5.3271,0.6942,13.6493,1.1216,5.42
11/30/2018,5.4707,0.7119,13.6442,1.1217,5.56
12/7/2018,5.3451,0.6923,13.5482,1.1019,5.47
