Date,Price,PE,PB,ROE,ROA
11/28/2014,686.4,9.497,0.6932,7.5239,0.3957
12/5/2014,696.9,9.5491,0.7029,7.5811,0.3956
12/12/2014,670.9,9.0584,0.6736,7.7437,0.3945
12/19/2014,676.4,9.1544,0.6755,7.706,0.3932
12/26/2014,673.2,9.079,0.6713,7.7178,0.3961
1/2/2015,664.5,8.9604,0.6619,7.7127,0.3959
1/9/2015,632.8,8.5287,0.631,7.7225,0.3958
1/16/2015,614.7,8.2818,0.6123,7.7068,0.3956
1/23/2015,622.2,8.3793,0.6189,7.7012,0.3954
1/30/2015,632.3,8.5127,0.6281,7.6957,0.3953
2/6/2015,671.8,8.937,0.6661,7.7306,0.3991
2/13/2015,707.1,9.4009,0.7001,7.7351,0.399
2/20/2015,765.5,10.0794,0.7482,7.7285,0.3988
2/27/2015,777.7,10.2387,0.7518,7.644,0.3989
3/6/2015,778.5,10.2044,0.7446,7.6131,0.3998
3/13/2015,789.5,10.3443,0.7543,7.604,0.3996
3/20/2015,790,10.3476,0.7538,7.5948,0.3993
3/27/2015,752.2,9.8323,0.7168,7.5864,0.3991
4/3/2015,771.4,10.0805,0.7345,7.583,0.399
4/10/2015,777.3,10.1393,0.7342,7.5377,0.3992
4/17/2015,822,10.7693,0.7754,7.4857,0.3993
4/24/2015,856.8,11.2143,0.8073,7.4847,0.3995
5/1/2015,842.2,11.0124,0.7918,7.4836,0.3996
5/8/2015,882.8,11.5321,0.83,7.4826,0.3998
5/15/2015,871.9,11.3704,0.8162,7.4566,0.4008
5/22/2015,899.5,11.7841,0.8222,7.1894,0.3917
5/29/2015,921.2,12.0657,0.8294,7.2811,0.3918
6/5/2015,906.4,11.813,0.7984,7.3067,0.3899
6/12/2015,890,11.5521,0.7831,7.3004,0.39
6/19/2015,860,11.1715,0.7472,7.1921,0.3913
6/26/2015,915.5,11.8064,0.7939,7.2103,0.3922
7/3/2015,903.5,11.6379,0.7827,7.1999,0.3923
7/10/2015,857.3,11.0298,0.7419,7.209,0.3924
7/17/2015,902.1,11.597,0.7795,7.2196,0.3925
7/24/2015,884.7,11.3599,0.764,7.2274,0.3926
7/31/2015,900,11.5377,0.7764,7.2304,0.3906
8/7/2015,894.6,11.4384,0.7735,7.2573,0.3914
8/14/2015,880.7,11.2368,0.7606,7.266,0.3916
8/21/2015,814.9,10.3035,0.6984,7.3113,0.3945
8/28/2015,820.1,10.351,0.7066,7.327,0.3992
9/4/2015,738,9.2884,0.6351,7.3849,0.3993
9/11/2015,771.8,9.7019,0.6634,7.3856,0.3993
9/18/2015,744,9.341,0.6383,7.3863,0.3994
9/25/2015,751.7,9.4261,0.6448,7.387,0.3995
10/2/2015,747.7,9.3433,0.6407,7.3876,0.3995
10/9/2015,778.1,9.7112,0.6658,7.3883,0.3996
10/16/2015,755,9.4136,0.6456,7.389,0.3996
10/23/2015,785.9,9.7408,0.6653,7.3111,0.3997
10/30/2015,790.6,9.7873,0.6696,7.3213,0.3997
11/6/2015,788.6,9.7782,0.6672,7.4042,0.4006
11/13/2015,829.1,10.2242,0.6999,7.439,0.3987
11/20/2015,829.3,10.1576,0.7,7.4221,0.3998
11/27/2015,803.5,9.826,0.6777,7.4243,0.3999
12/4/2015,803.6,9.7753,0.6785,7.4317,0.4001
12/11/2015,775.9,9.4199,0.656,7.427,0.4019
12/18/2015,758.2,9.2044,0.6382,7.4366,0.402
12/25/2015,742.1,8.9372,0.6229,7.4348,0.4049
1/1/2016,757.1,9.1094,0.6365,7.4518,0.4048
1/8/2016,707.7,8.5031,0.5942,7.4544,0.4049
1/15/2016,672,8.1287,0.5657,7.3932,0.3992
1/22/2016,624.7,7.524,0.5255,7.446,0.3991
1/29/2016,609.4,7.3641,0.5134,7.441,0.3992
2/5/2016,538.2,6.5628,0.4544,7.4227,0.4002
2/12/2016,446.2,5.4749,0.3755,7.3134,0.3934
2/19/2016,486.2,5.9807,0.409,7.2791,0.3891
2/26/2016,488.7,6.0888,0.4108,7.2005,0.3894
3/4/2016,559.9,7.1373,0.475,7.0064,0.3701
3/11/2016,554.3,7.0605,0.4697,7.0063,0.3701
3/18/2016,547.7,6.971,0.4636,7.0062,0.37
3/25/2016,535.7,6.8897,0.453,7.0052,0.37
4/1/2016,508.7,6.5386,0.4298,7.006,0.37
4/8/2016,490.1,6.2961,0.4137,7.0041,0.37
4/15/2016,533.8,6.8538,0.4501,7.0022,0.37
4/22/2016,579.3,7.4526,0.488,7.0031,0.37
4/29/2016,520.1,6.819,0.4384,6.958,0.37
5/6/2016,492.7,6.4566,0.4149,6.9527,0.37
