Date,Price,PE,PB,ROE,ROA
11/23/2014,305.5,11.0617,1.3292,12.6026,0.8096
11/30/2014,321.4,11.5489,1.3955,12.6295,0.8032
12/7/2014,317.55,11.3415,1.3665,12.6771,0.7669
12/14/2014,311.35,11.0761,1.337,12.7046,0.7686
12/21/2014,304.15,10.7803,1.301,12.6549,0.7717
12/28/2014,307.65,10.8626,1.3132,12.68,0.7734
1/4/2015,315.25,11.0885,1.3427,12.7292,0.775
1/11/2015,303.2,10.7156,1.291,12.6641,0.7683
1/18/2015,315.45,11.1086,1.3406,12.6406,0.7682
1/25/2015,327.45,11.4901,1.3881,12.6639,0.7697
2/1/2015,308.95,10.8024,1.3076,12.6872,0.7712
2/8/2015,290.3,10.1144,1.2261,12.7105,0.7728
2/15/2015,306.95,10.522,1.3002,12.8862,0.7759
2/22/2015,302.3,11.132,1.2923,12.3062,0.7496
3/1/2015,301.65,11.073,1.2871,12.3301,0.7508
3/8/2015,293.8,10.6966,1.2515,12.4297,0.7563
3/15/2015,280.75,10.1848,1.1937,12.4604,0.7577
3/22/2015,278.25,10.0802,1.1789,12.4478,0.762
3/29/2015,263.6,9.5156,1.1147,12.4729,0.7634
4/5/2015,273.45,9.9629,1.1561,12.4232,0.7643
4/12/2015,285.75,10.3056,1.2051,12.4592,0.7659
4/19/2015,291.75,10.3771,1.2273,12.4951,0.7675
4/26/2015,275.55,9.7448,1.1562,12.5536,0.769
5/3/2015,269.75,9.4863,1.1291,12.5901,0.7706
5/10/2015,261.95,9.1591,1.0937,12.6265,0.7722
5/17/2015,287.45,9.9941,1.1973,12.6629,0.7738
5/24/2015,282.45,9.8569,1.1688,12.4989,0.7641
5/31/2015,278.15,10.0172,1.1619,12.1555,0.7352
6/7/2015,257.8,9.1962,1.0744,12.0832,0.7394
6/14/2015,253.95,9.0141,1.0559,12.1181,0.7411
6/21/2015,260.15,9.2986,1.0806,12.0445,0.7342
6/28/2015,265.2,9.442,1.0993,12.07,0.7355
7/5/2015,269.4,9.5542,1.1144,12.0986,0.7368
7/12/2015,270.55,9.5578,1.1169,12.1234,0.738
7/19/2015,271.1,9.5402,1.1169,12.1489,0.7393
7/26/2015,263.25,9.2209,1.0815,12.1757,0.7389
8/2/2015,270.05,9.4235,1.1072,12.2004,0.7402
8/9/2015,281.3,9.7794,1.151,12.225,0.7414
8/16/2015,268.5,9.6104,1.1032,12.0392,0.7229
8/23/2015,267.5,9.4668,1.0981,12.0595,0.7213
8/30/2015,248.95,8.7788,1.0199,12.083,0.7222
9/6/2015,225.15,8.1516,0.9227,11.9738,0.7122
9/13/2015,230.1,8.3039,0.9412,11.9946,0.713
9/20/2015,242,8.7053,0.988,12.0155,0.7137
9/27/2015,239.05,8.5743,0.9741,12.0363,0.7144
10/4/2015,235.15,8.4076,0.9569,12.0346,0.7151
10/11/2015,243.45,8.7501,0.9879,11.9828,0.72
10/18/2015,254.85,9.1256,1.0322,12.0507,0.7209
10/25/2015,253.4,9.0431,1.0193,11.9064,0.7217
11/1/2015,237.05,8.4312,0.9518,11.9226,0.7226
11/8/2015,243,8.6728,0.9739,11.9224,0.7234
11/15/2015,240.25,8.4468,0.9649,11.9775,0.7189
11/22/2015,242.95,8.4799,0.9742,11.9402,0.7208
11/29/2015,249.7,8.6878,1.0007,11.9548,0.7216
12/6/2015,241.1,8.3619,0.9647,11.9649,0.7224
12/13/2015,227.3,7.8583,0.908,11.9798,0.7232
12/20/2015,226.5,7.806,0.9033,11.9947,0.724
12/27/2015,228.3,7.8469,0.909,12.0096,0.7249
1/3/2016,227.8,7.8285,0.9054,11.9548,0.7287
1/10/2016,208.95,7.541,0.8349,11.4179,0.701
1/17/2016,184.3,6.8346,0.7334,11.241,0.7246
1/24/2016,184.6,6.8308,0.7334,11.2446,0.7246
1/31/2016,179.9,6.6131,0.7136,11.2482,0.7245
2/7/2016,168.2,6.1514,0.6686,11.1489,0.7301
2/14/2016,154.8,7.1404,0.6381,9.1983,0.5939
2/21/2016,164.7,7.6686,0.678,9.1058,0.5835
2/28/2016,155.9,7.0436,0.6353,9.1684,0.588
3/6/2016,188.4,8.6115,0.7675,9.0582,0.5777
3/13/2016,180.1,8.1907,0.7354,9.076,0.5783
3/20/2016,191.25,8.9605,0.7695,8.7479,0.5258
3/27/2016,196.6,9.1948,0.79,8.7658,0.5265
4/3/2016,195.65,9.1678,0.7854,8.78,0.527
4/10/2016,183.1,8.4958,0.734,8.8085,0.5285
4/17/2016,191.9,9.5843,0.7759,8.3259,0.494
4/24/2016,200.15,9.9254,0.8081,8.3628,0.496
5/1/2016,189,9.3258,0.7621,8.3998,0.498
5/8/2016,184.35,9.0428,0.7423,8.4367,0.5
5/15/2016,184.85,9.008,0.7433,8.4737,0.502
5/22/2016,171.35,8.2991,0.7049,8.5159,0.5355
5/29/2016,195.9,9.5358,0.807,8.5397,0.5426
6/5/2016,196.6,10.0549,0.8164,8.0861,0.4841
6/12/2016,205.95,10.4708,0.8539,8.1215,0.4857
6/19/2016,213.45,10.8619,0.8836,8.1542,0.4874
6/26/2016,211.25,10.6243,0.8731,8.1895,0.4891
7/3/2016,219.6,11.0364,0.9061,8.2297,0.4908
7/10/2016,218.3,10.8233,0.8993,8.4024,0.4942
7/17/2016,231.5,11.4139,0.9302,8.4371,0.496
7/24/2016,223.5,10.9586,0.8972,8.4718,0.4977
7/31/2016,229.4,11.186,0.9201,8.5064,0.4994
8/7/2016,232.75,11.2285,0.924,8.5011,0.5022
8/14/2016,243.3,12.0095,0.9472,8.3159,0.4997
8/21/2016,258.5,13.5761,1.0126,7.7905,0.4791
8/28/2016,246.6,13.2636,0.9652,7.6507,0.4698
9/4/2016,254.6,13.834,0.997,7.5773,0.4625
9/11/2016,264.1,14.3093,1.0332,7.6306,0.4809
9/18/2016,254.3,13.686,0.9936,7.6731,0.4841
9/25/2016,254.55,13.5338,0.9934,7.7155,0.4873
10/2/2016,251.25,13.2705,0.9793,7.758,0.4905
10/9/2016,258.7,13.5747,1.0071,7.8005,0.4937
10/16/2016,252.1,13.1425,0.9802,7.8429,0.4969
10/23/2016,258.5,13.3892,1.0039,7.8854,0.5001
10/30/2016,257.6,13.4969,0.9988,7.9278,0.5033
11/6/2016,242.85,12.6625,0.946,7.9956,0.5066
11/13/2016,273,14.906,1.0695,7.6659,0.4594
11/20/2016,275.8,16.1471,1.0727,7.1953,0.4182
11/27/2016,260.95,15.0423,1.0138,7.2571,0.4223
12/4/2016,254.1,14.5148,0.986,7.3446,0.4272
12/11/2016,266.65,15.077,1.0336,7.4005,0.4308
12/18/2016,264.75,14.8927,1.0251,7.4564,0.443
12/25/2016,249.15,13.875,0.9636,7.5123,0.4469
1/1/2017,250.2,13.7956,0.9666,7.5683,0.4507
1/8/2017,245.9,14.277,0.9482,7.5565,0.4514
1/15/2017,250.9,14.0862,0.9687,7.4349,0.4349
1/22/2017,251.05,14.2915,0.9769,7.3912,0.4285
1/29/2017,266.45,14.9499,1.0357,7.4405,0.4322
2/5/2017,277.55,16.3636,1.0777,7.5194,0.436
2/12/2017,276.35,15.6465,1.057,7.346,0.4215
2/19/2017,269.35,16.4931,1.0268,6.7761,0.3633
2/26/2017,270.45,16.4824,1.0428,6.9307,0.3652
3/5/2017,265.05,16.5029,1.0279,6.2368,0.3595
3/12/2017,272.05,16.7024,1.0536,6.2994,0.3584
3/19/2017,274.15,16.6538,1.0607,6.3619,0.362
3/26/2017,276.5,16.9605,1.07,6.2929,0.3576
4/2/2017,293.4,17.9967,1.1547,6.446,0.361
4/9/2017,289.45,17.6086,1.1177,6.3567,0.3633
4/16/2017,291.55,18.1736,1.1264,6.1871,0.3579
4/23/2017,282.2,17.3918,1.0888,6.2292,0.3598
4/30/2017,289.75,17.7155,1.1159,6.2712,0.3618
5/7/2017,296,17.9552,1.1391,6.3133,0.3637
5/14/2017,297.9,16.9476,1.1348,6.6735,0.3852
5/21/2017,308,17.2174,1.1772,6.8917,0.3935
5/28/2017,288.45,16.7439,1.098,6.9761,0.4451
6/4/2017,287.05,16.4686,1.0909,7.03,0.4482
6/11/2017,288.55,16.6756,1.0934,7.0751,0.4505
6/18/2017,285.95,16.0393,1.0664,7.2024,0.4531
6/25/2017,288.95,16.022,1.0752,7.2543,0.4562
7/2/2017,273.65,15.0019,1.0172,7.3063,0.4593
7/9/2017,280.1,15.6554,1.0394,7.5693,0.4623
7/16/2017,291.6,15.6113,1.0835,7.6198,0.4654
7/23/2017,290.65,15.3836,1.0782,7.6722,0.4685
7/30/2017,299.1,15.653,1.1077,7.7245,0.4716
8/6/2017,305.25,15.7974,1.1286,7.7769,0.4747
8/13/2017,280.15,14.3064,1.0374,7.7339,0.4709
8/20/2017,278.7,17.1293,1.0603,6.4648,0.3894
8/27/2017,280.3,17.245,1.065,6.4764,0.3922
9/3/2017,277.85,16.8969,1.0757,6.5303,0.3949
9/10/2017,271.8,16.3543,1.0508,6.5842,0.3977
9/17/2017,271.5,16.1654,1.0482,6.6382,0.4005
9/24/2017,261.85,15.4294,1.0095,6.6921,0.4032
10/1/2017,253.85,14.8048,0.9768,6.746,0.406
10/8/2017,256.75,14.3217,0.9598,6.9541,0.4264
10/15/2017,252.1,13.9359,0.9416,7.0046,0.4347
10/22/2017,242.75,14.1126,0.9093,6.7985,0.4219
10/29/2017,311.05,16.6832,1.1966,6.8255,0.4197
11/5/2017,325,17.267,1.2486,6.8853,0.4233
11/12/2017,333.55,17.9739,1.2792,6.8048,0.4268
11/19/2017,337.5,19.217,1.2763,6.7139,0.4394
11/26/2017,332.4,18.7348,1.2531,6.7497,0.4416
12/3/2017,312.75,17.4503,1.1777,6.8077,0.4457
12/10/2017,313.1,17.2963,1.1776,6.8657,0.4498
12/17/2017,312.25,17.0796,1.1731,6.9237,0.4538
12/24/2017,319.85,17.3249,1.1999,6.9817,0.4579
12/31/2017,309.9,16.624,1.1616,6.7098,0.462
1/7/2018,306.35,16.4078,1.1478,6.7169,0.4661
1/14/2018,302.25,16.6161,1.14,6.8465,0.4626
1/21/2018,309.25,17.3668,1.1658,6.7262,0.4596
1/28/2018,313.15,17.4361,1.1791,6.7812,0.4637
2/4/2018,297.35,16.3622,1.1183,6.8362,0.4677
2/11/2018,296.4,16.4137,1.0787,6.8091,0.4587
2/18/2018,271.65,17.3123,1.016,6.714,0.4412
2/25/2018,276.05,17.9503,1.036,6.7622,0.4465
3/4/2018,262.15,18.1289,1.0074,5.6342,0.3528
3/11/2018,253.25,17.1784,0.9722,5.7324,0.3579
3/18/2018,252.3,16.8418,0.9676,5.8306,0.3629
3/25/2018,234.8,15.4283,0.9121,5.1893,0.3101
4/1/2018,249.9,16.2673,0.9701,5.273,0.314
4/8/2018,259.7,16.4672,1.0284,5.0291,0.3187
4/15/2018,250.95,15.6996,0.9957,5.0979,0.3234
4/22/2018,241.2,14.8824,0.9339,5.9747,0.3915
4/29/2018,242.6,14.7713,0.9372,6.0486,0.3943
5/6/2018,241.95,14.5399,0.9326,6.1225,0.3971
5/13/2018,250.35,14.8513,0.9628,6.1964,0.4
5/20/2018,238.85,13.9892,0.9165,6.2703,0.4028
5/27/2018,266.95,14.9538,1.0269,6.5642,0.3871
6/3/2018,266.7,14.7091,1.0237,6.6516,0.392
6/10/2018,273,14.996,1.0465,6.9138,0.3968
6/17/2018,277.45,15.0045,1.0613,6.9978,0.4017
6/24/2018,273.05,14.5414,1.0423,7.0819,0.4066
7/1/2018,259.35,13.6044,0.9879,7.166,0.4115
7/8/2018,257.2,13.292,0.9777,7.2501,0.4164
7/15/2018,257.75,13.3441,0.9829,7.3107,0.4213
7/22/2018,261.5,13.6806,0.9952,7.4314,0.4262
7/29/2018,286.75,14.81,1.0891,7.5183,0.431
8/5/2018,299.25,15.2607,1.1343,7.6053,0.4359
8/12/2018,304.45,15.3397,1.1521,7.6863,0.4503
8/19/2018,302.1,16.9947,1.1876,6.9862,0.3783
8/26/2018,300.45,16.5905,1.1794,6.9771,0.3849
9/2/2018,309.6,16.7866,1.2134,7.1026,0.3915
9/9/2018,291.65,15.5324,1.1412,7.2281,0.3982
9/16/2018,290.65,15.2031,1.1565,7.3575,0.402
9/23/2018,270.6,13.9116,1.075,7.483,0.4085
9/30/2018,265.5,13.4193,1.053,7.6085,0.415
10/7/2018,258.35,12.9166,1.0051,7.6898,0.4215
10/14/2018,263.75,13.3991,1.0398,7.6848,0.4211
10/21/2018,261.1,13.0178,1.0276,7.8298,0.4289
10/28/2018,248.1,12.1439,0.9748,7.9747,0.4367
11/4/2018,285.35,13.761,1.1199,8.0968,0.4442
11/11/2018,283.25,14.202,1.1104,7.9504,0.4415
11/18/2018,290.9,14.0013,1.1385,8.1084,0.4502
11/25/2018,282.7,13.371,1.1044,8.2773,0.4589
12/2/2018,284.65,13.2349,1.0981,8.2583,0.4583
12/9/2018,275.4,11.83,1.0528,8.9044,0.4886
12/16/2018,289.2,12.1989,1.1235,9.0651,0.4976
12/23/2018,291.9,12.2178,1.132,9.3443,0.5065
12/30/2018,294.8,11.8697,1.1412,9.507,0.5155
1/6/2019,297.65,11.7786,1.1502,9.9305,0.5183
1/13/2019,302.75,11.6475,1.1634,10.1653,0.5271
1/20/2019,294.95,11.1644,1.1314,10.3325,0.5359
1/27/2019,285.4,10.6314,1.0928,10.4996,0.5447
