Date,Price,PE,PB,ROE,ROA
11/22/2014,11300,7.696,0.4497,6.0292,0.3786
11/29/2014,10700,7.313,0.4301,5.9794,0.3797
12/6/2014,10850,7.4844,0.4367,5.9454,0.3771
12/13/2014,10250,7.202,0.4119,5.8349,0.3675
12/20/2014,10450,7.39,0.4196,5.796,0.3587
12/27/2014,11000,7.8296,0.4413,5.7591,0.3558
1/3/2015,9790,6.9952,0.3926,5.7386,0.3541
1/10/2015,9560,6.9603,0.3793,5.5615,0.3503
1/17/2015,8860,6.4356,0.3519,5.5801,0.3506
1/24/2015,9110,6.728,0.3613,5.5302,0.3459
1/31/2015,8800,6.5753,0.3446,5.4293,0.3385
2/7/2015,9140,6.9919,0.3453,5.0097,0.31
2/14/2015,9350,7.1371,0.354,5.0248,0.3086
2/21/2015,9510,7.2522,0.3598,5.0297,0.3108
2/28/2015,9480,7.1937,0.3577,5.0363,0.3112
3/7/2015,9310,7.2653,0.3527,4.9466,0.3068
3/14/2015,9470,7.3836,0.3587,4.941,0.3095
3/21/2015,9760,7.599,0.3694,4.9792,0.3153
3/28/2015,9390,7.3083,0.3551,4.9823,0.3154
4/4/2015,9300,7.2259,0.3516,4.9854,0.3155
4/11/2015,9370,7.3027,0.3558,4.9789,0.3206
4/18/2015,10500,8.1872,0.3984,4.9647,0.317
4/25/2015,11200,8.7452,0.4227,4.9292,0.3176
5/2/2015,10750,8.2089,0.4173,5.1332,0.317
5/9/2015,10650,8.2543,0.4131,5.1367,0.3173
5/16/2015,10650,8.1358,0.4145,5.1961,0.3175
5/23/2015,10650,8.1169,0.4157,5.237,0.3156
5/30/2015,10500,7.9395,0.4073,5.2451,0.3175
6/6/2015,9970,7.5285,0.3865,5.2497,0.3178
6/13/2015,10050,7.4651,0.3856,5.2804,0.3246
6/20/2015,9540,7.0766,0.3657,5.2849,0.3247
6/27/2015,10150,7.5188,0.3888,5.2895,0.3233
7/4/2015,9730,7.2,0.3728,5.2993,0.322
7/11/2015,9310,6.8566,0.3554,5.37,0.3266
7/18/2015,8980,6.6443,0.3407,5.3425,0.3237
7/25/2015,8960,6.5646,0.3381,5.3157,0.3265
8/1/2015,9540,6.7009,0.357,5.5499,0.325
8/8/2015,9490,6.6631,0.3548,5.5494,0.3246
8/15/2015,9260,6.4989,0.3446,5.5336,0.3242
8/22/2015,9020,6.3279,0.3354,5.5324,0.3239
8/29/2015,9050,6.3728,0.3362,5.4952,0.3218
9/5/2015,8920,6.286,0.3316,5.4609,0.3215
9/12/2015,9350,6.5588,0.3473,5.4927,0.3233
9/19/2015,9330,6.5571,0.3449,5.4632,0.3211
9/26/2015,9180,6.4691,0.3396,5.4619,0.3233
10/3/2015,9430,6.6303,0.3486,5.4663,0.3229
10/10/2015,9450,6.8706,0.3466,5.4164,0.3163
10/17/2015,9950,7.1617,0.3646,5.4107,0.3156
10/24/2015,9930,7.1898,0.3634,5.3177,0.3126
10/31/2015,9920,7.0643,0.3625,5.2575,0.3136
11/7/2015,9900,7.0263,0.3613,5.2713,0.3141
11/14/2015,9630,6.7896,0.3522,5.3129,0.3207
11/21/2015,9700,6.8042,0.3545,5.2627,0.3203
11/28/2015,9720,6.8528,0.355,5.2551,0.3182
12/5/2015,9240,6.4963,0.3397,5.3131,0.3207
12/12/2015,9050,6.3629,0.3325,5.3078,0.3202
12/19/2015,8990,6.3456,0.3293,5.3131,0.3119
12/26/2015,9180,6.4798,0.336,5.3075,0.3114
1/2/2016,8820,6.2256,0.3226,5.296,0.316
1/9/2016,8540,6.111,0.3138,5.2669,0.3082
1/16/2016,8250,5.8159,0.3037,5.3194,0.3112
1/23/2016,8400,5.7904,0.3063,5.5305,0.3286
1/30/2016,8800,6.0696,0.3235,5.5761,0.3319
2/6/2016,8980,5.9759,0.3309,5.6972,0.3419
2/13/2016,8530,5.662,0.3143,5.7052,0.3487
2/20/2016,8860,5.8672,0.3263,5.7201,0.3443
2/27/2016,8780,5.8059,0.3231,5.7785,0.3445
3/5/2016,9180,6.0617,0.3375,5.7797,0.3447
3/12/2016,9390,6.0749,0.342,5.8404,0.3507
3/19/2016,9450,6.207,0.3351,5.632,0.3431
3/26/2016,9100,5.9689,0.3224,5.632,0.3433
4/2/2016,9420,6.2492,0.3326,5.5293,0.3345
4/9/2016,9250,6.0181,0.3238,5.5833,0.3407
4/16/2016,9770,6.3444,0.3463,5.6148,0.3422
4/23/2016,10600,6.2574,0.3718,6.1621,0.3783
4/30/2016,10500,6.3978,0.3725,5.9717,0.3606
5/7/2016,10350,6.3006,0.3666,5.9682,0.3605
5/14/2016,9890,5.9792,0.35,5.9711,0.3607
5/21/2016,10100,6.0986,0.3571,5.9739,0.361
5/28/2016,10350,6.2418,0.3657,5.9768,0.3613
6/4/2016,10000,6.0232,0.3529,5.9796,0.3615
6/11/2016,10150,6.106,0.358,5.9843,0.3605
6/18/2016,9860,5.9242,0.3475,5.9872,0.3608
6/25/2016,9780,5.9174,0.344,5.9676,0.3576
7/2/2016,9610,5.7689,0.3357,6.175,0.36
7/9/2016,9450,5.5429,0.329,6.3398,0.3707
7/16/2016,10100,5.8915,0.3511,6.379,0.3706
7/23/2016,10150,5.9105,0.3511,6.2759,0.3676
7/30/2016,10100,5.9553,0.3518,6.2208,0.367
8/6/2016,10000,5.8834,0.3489,6.2643,0.3663
8/13/2016,10400,6.1252,0.3625,6.2528,0.3657
8/20/2016,10350,6.0504,0.3591,6.2585,0.3673
8/27/2016,10400,6.0949,0.3608,6.2339,0.3667
9/3/2016,11000,6.4568,0.3813,6.2165,0.3664
9/10/2016,11200,6.5856,0.3878,6.2012,0.3658
9/17/2016,11200,6.5907,0.3875,6.1858,0.3651
9/24/2016,11350,6.7705,0.3923,6.1343,0.3644
10/1/2016,11400,6.7052,0.3834,6.149,0.3665
10/8/2016,11350,6.6653,0.385,6.1755,0.3635
10/15/2016,11500,6.6937,0.3898,6.2291,0.3658
10/22/2016,12550,6.9648,0.4223,6.4818,0.3763
10/29/2016,12450,6.9117,0.4189,6.4648,0.3757
11/5/2016,12450,6.9202,0.4185,6.4549,0.3751
11/12/2016,12750,7.0956,0.4282,6.4438,0.3744
11/19/2016,12200,6.8211,0.4121,6.4698,0.3752
11/26/2016,12250,6.9199,0.4133,6.3972,0.3736
12/3/2016,12400,7.0056,0.4198,6.4394,0.3741
12/10/2016,13000,7.3519,0.4399,6.4318,0.3736
12/17/2016,13350,7.5573,0.4514,6.4242,0.371
12/24/2016,13250,7.5091,0.4478,6.4166,0.3705
12/31/2016,12750,7.2308,0.4306,6.409,0.37
1/7/2017,12400,7.2956,0.4303,6.4477,0.3626
1/14/2017,12600,7.2647,0.4279,6.4553,0.3623
1/21/2017,13050,7.3415,0.445,6.4392,0.3653
1/28/2017,13050,7.484,0.4478,6.3357,0.3651
2/4/2017,13200,7.533,0.4529,6.37,0.3718
2/11/2017,13750,7.5917,0.4644,6.665,0.3849
2/18/2017,13600,7.4104,0.4637,6.8264,0.3913
2/25/2017,13550,7.3435,0.4607,6.8464,0.3914
3/4/2017,13400,7.2715,0.4546,6.8253,0.3893
3/11/2017,13600,7.38,0.4584,6.607,0.3886
3/18/2017,13850,7.4828,0.4664,6.6095,0.3886
3/25/2017,13300,7.1577,0.4469,6.6085,0.3885
4/1/2017,13000,6.9263,0.4342,6.623,0.394
4/8/2017,13900,7.329,0.4636,6.7099,0.4012
4/15/2017,13950,7.2463,0.4645,6.8055,0.4127
4/22/2017,14400,7.2207,0.4896,7.1869,0.4377
4/29/2017,14950,7.3833,0.5031,7.2698,0.4482
5/6/2017,15100,7.3634,0.5048,7.2817,0.4532
5/13/2017,16050,7.6956,0.5366,7.1942,0.4507
5/20/2017,15350,7.227,0.5122,7.3058,0.4576
5/27/2017,15450,7.2826,0.515,7.1703,0.4568
6/3/2017,15800,7.3457,0.5279,7.346,0.457
6/10/2017,16750,7.7027,0.5585,7.4339,0.4643
6/17/2017,17250,7.9446,0.5746,7.4156,0.4634
6/24/2017,17350,7.962,0.577,7.4367,0.4624
7/1/2017,18450,8.2366,0.6118,7.2835,0.4785
7/8/2017,18650,8.2775,0.6176,7.2101,0.4824
7/15/2017,18600,8.0511,0.6118,7.3722,0.4924
7/22/2017,18800,7.9575,0.6305,7.9942,0.5377
7/29/2017,19100,8.0234,0.6342,8.1405,0.5369
8/5/2017,18900,7.9477,0.6268,8.0429,0.5362
8/12/2017,18200,7.65,0.6047,8.0531,0.5354
8/19/2017,18300,7.7333,0.6053,8.2837,0.5248
8/26/2017,19000,7.9821,0.6279,8.2665,0.5241
9/2/2017,18550,7.7996,0.6124,8.2493,0.5234
9/9/2017,17100,7.2464,0.5649,7.8899,0.5109
9/16/2017,17650,7.4846,0.5823,7.8744,0.5101
9/23/2017,18200,7.7041,0.5998,7.8833,0.5093
9/30/2017,17850,7.5611,0.5867,7.866,0.5085
10/7/2017,,,,7.8487,0.5077
10/14/2017,17500,7.4129,0.5718,7.881,0.5137
10/21/2017,17550,7.3974,0.5748,7.8992,0.5099
10/28/2017,17100,7.2643,0.5669,7.5912,0.4966
11/4/2017,16500,7.0657,0.5521,7.9242,0.4958
11/11/2017,15600,6.6826,0.5214,7.9164,0.4959
11/18/2017,15850,6.6809,0.5257,7.978,0.4991
11/25/2017,16100,6.7747,0.533,8.0168,0.4991
12/2/2017,15800,6.7014,0.5292,8.0984,0.4855
12/9/2017,15700,6.6656,0.5255,8.0943,0.4851
